image,cluster
../input/datasetavantari/dataset/2345.jpg,0
../input/datasetavantari/dataset/2853.jpg,0
../input/datasetavantari/dataset/458.jpg,0
../input/datasetavantari/dataset/4177.jpg,0
../input/datasetavantari/dataset/2478.jpg,0
../input/datasetavantari/dataset/87.jpg,0
../input/datasetavantari/dataset/3055.jpg,0
../input/datasetavantari/dataset/2078.jpg,0
../input/datasetavantari/dataset/2776.jpg,0
../input/datasetavantari/dataset/1830.jpg,0
../input/datasetavantari/dataset/2064.jpg,0
../input/datasetavantari/dataset/3863.jpg,0
../input/datasetavantari/dataset/1371.jpg,0
../input/datasetavantari/dataset/861.jpg,0
../input/datasetavantari/dataset/4362.jpg,0
../input/datasetavantari/dataset/2537.jpg,0
../input/datasetavantari/dataset/264.jpg,0
../input/datasetavantari/dataset/278.jpg,0
../input/datasetavantari/dataset/4455.jpg,0
../input/datasetavantari/dataset/76.jpg,0
../input/datasetavantari/dataset/468.jpg,0
../input/datasetavantari/dataset/2689.jpg,0
../input/datasetavantari/dataset/73.jpg,0
../input/datasetavantari/dataset/3786.jpg,0
../input/datasetavantari/dataset/1317.jpg,0
../input/datasetavantari/dataset/310.jpg,0
../input/datasetavantari/dataset/3704.jpg,0
../input/datasetavantari/dataset/3332.jpg,0
../input/datasetavantari/dataset/789.jpg,0
../input/datasetavantari/dataset/744.jpg,0
../input/datasetavantari/dataset/4640.jpg,0
../input/datasetavantari/dataset/1790.jpg,0
../input/datasetavantari/dataset/2937.jpg,0
../input/datasetavantari/dataset/2111.jpg,0
../input/datasetavantari/dataset/4661.jpg,0
../input/datasetavantari/dataset/1784.jpg,0
../input/datasetavantari/dataset/341.jpg,0
../input/datasetavantari/dataset/607.jpg,0
../input/datasetavantari/dataset/1236.jpg,0
../input/datasetavantari/dataset/3983.jpg,0
../input/datasetavantari/dataset/2367.jpg,0
../input/datasetavantari/dataset/676.jpg,0
../input/datasetavantari/dataset/1310.jpg,0
../input/datasetavantari/dataset/227.jpg,0
../input/datasetavantari/dataset/1639.jpg,0
../input/datasetavantari/dataset/4713.jpg,0
../input/datasetavantari/dataset/1998.jpg,0
../input/datasetavantari/dataset/1060.jpg,0
../input/datasetavantari/dataset/502.jpg,0
../input/datasetavantari/dataset/4208.jpg,0
../input/datasetavantari/dataset/1730.jpg,0
../input/datasetavantari/dataset/1588.jpg,0
../input/datasetavantari/dataset/2506.jpg,0
../input/datasetavantari/dataset/2103.jpg,0
../input/datasetavantari/dataset/3421.jpg,0
../input/datasetavantari/dataset/754.jpg,0
../input/datasetavantari/dataset/3754.jpg,0
../input/datasetavantari/dataset/3995.jpg,0
../input/datasetavantari/dataset/764.jpg,0
../input/datasetavantari/dataset/3306.jpg,0
../input/datasetavantari/dataset/3270.jpg,0
../input/datasetavantari/dataset/3164.jpg,0
../input/datasetavantari/dataset/3554.jpg,0
../input/datasetavantari/dataset/4626.jpg,0
../input/datasetavantari/dataset/2407.jpg,0
../input/datasetavantari/dataset/2004.jpg,0
../input/datasetavantari/dataset/155.jpg,0
../input/datasetavantari/dataset/4008.jpg,0
../input/datasetavantari/dataset/4588.jpg,0
../input/datasetavantari/dataset/1634.jpg,0
../input/datasetavantari/dataset/1733.jpg,0
../input/datasetavantari/dataset/3658.jpg,0
../input/datasetavantari/dataset/2178.jpg,0
../input/datasetavantari/dataset/2835.jpg,0
../input/datasetavantari/dataset/1102.jpg,0
../input/datasetavantari/dataset/197.jpg,0
../input/datasetavantari/dataset/840.jpg,0
../input/datasetavantari/dataset/2758.jpg,0
../input/datasetavantari/dataset/952.jpg,0
../input/datasetavantari/dataset/436.jpg,0
../input/datasetavantari/dataset/3809.jpg,0
../input/datasetavantari/dataset/240.jpg,0
../input/datasetavantari/dataset/1288.jpg,0
../input/datasetavantari/dataset/1741.jpg,0
../input/datasetavantari/dataset/3570.jpg,0
../input/datasetavantari/dataset/1656.jpg,0
../input/datasetavantari/dataset/777.jpg,0
../input/datasetavantari/dataset/4095.jpg,0
../input/datasetavantari/dataset/13.jpg,0
../input/datasetavantari/dataset/2003.jpg,0
../input/datasetavantari/dataset/1054.jpg,0
../input/datasetavantari/dataset/1244.jpg,0
../input/datasetavantari/dataset/2435.jpg,0
../input/datasetavantari/dataset/1099.jpg,0
../input/datasetavantari/dataset/4215.jpg,0
../input/datasetavantari/dataset/2961.jpg,0
../input/datasetavantari/dataset/1283.jpg,0
../input/datasetavantari/dataset/1121.jpg,0
../input/datasetavantari/dataset/263.jpg,0
../input/datasetavantari/dataset/4536.jpg,0
../input/datasetavantari/dataset/1503.jpg,0
../input/datasetavantari/dataset/1385.jpg,0
../input/datasetavantari/dataset/126.jpg,0
../input/datasetavantari/dataset/3833.jpg,0
../input/datasetavantari/dataset/686.jpg,0
../input/datasetavantari/dataset/2459.jpg,0
../input/datasetavantari/dataset/2430.jpg,0
../input/datasetavantari/dataset/2618.jpg,0
../input/datasetavantari/dataset/3750.jpg,0
../input/datasetavantari/dataset/3078.jpg,0
../input/datasetavantari/dataset/999.jpg,0
../input/datasetavantari/dataset/3970.jpg,0
../input/datasetavantari/dataset/3502.jpg,0
../input/datasetavantari/dataset/1717.jpg,0
../input/datasetavantari/dataset/3307.jpg,0
../input/datasetavantari/dataset/3706.jpg,0
../input/datasetavantari/dataset/1248.jpg,0
../input/datasetavantari/dataset/1359.jpg,0
../input/datasetavantari/dataset/1295.jpg,0
../input/datasetavantari/dataset/3379.jpg,0
../input/datasetavantari/dataset/3515.jpg,0
../input/datasetavantari/dataset/3562.jpg,0
../input/datasetavantari/dataset/4248.jpg,0
../input/datasetavantari/dataset/1008.jpg,0
../input/datasetavantari/dataset/2693.jpg,0
../input/datasetavantari/dataset/213.jpg,0
../input/datasetavantari/dataset/1546.jpg,0
../input/datasetavantari/dataset/567.jpg,0
../input/datasetavantari/dataset/1552.jpg,0
../input/datasetavantari/dataset/3169.jpg,0
../input/datasetavantari/dataset/445.jpg,0
../input/datasetavantari/dataset/3501.jpg,0
../input/datasetavantari/dataset/2201.jpg,0
../input/datasetavantari/dataset/1046.jpg,0
../input/datasetavantari/dataset/2361.jpg,0
../input/datasetavantari/dataset/115.jpg,0
../input/datasetavantari/dataset/2287.jpg,0
../input/datasetavantari/dataset/3125.jpg,0
../input/datasetavantari/dataset/1909.jpg,0
../input/datasetavantari/dataset/2701.jpg,0
../input/datasetavantari/dataset/3456.jpg,0
../input/datasetavantari/dataset/2687.jpg,0
../input/datasetavantari/dataset/3325.jpg,0
../input/datasetavantari/dataset/3885.jpg,0
../input/datasetavantari/dataset/4654.jpg,0
../input/datasetavantari/dataset/1119.jpg,0
../input/datasetavantari/dataset/3994.jpg,0
../input/datasetavantari/dataset/2513.jpg,0
../input/datasetavantari/dataset/1440.jpg,0
../input/datasetavantari/dataset/843.jpg,0
../input/datasetavantari/dataset/3342.jpg,0
../input/datasetavantari/dataset/1167.jpg,0
../input/datasetavantari/dataset/4602.jpg,0
../input/datasetavantari/dataset/3418.jpg,0
../input/datasetavantari/dataset/3106.jpg,0
../input/datasetavantari/dataset/3208.jpg,0
../input/datasetavantari/dataset/4276.jpg,0
../input/datasetavantari/dataset/4460.jpg,0
../input/datasetavantari/dataset/1759.jpg,0
../input/datasetavantari/dataset/4658.jpg,0
../input/datasetavantari/dataset/2591.jpg,0
../input/datasetavantari/dataset/499.jpg,0
../input/datasetavantari/dataset/958.jpg,0
../input/datasetavantari/dataset/3566.jpg,0
../input/datasetavantari/dataset/4241.jpg,0
../input/datasetavantari/dataset/4486.jpg,0
../input/datasetavantari/dataset/2980.jpg,0
../input/datasetavantari/dataset/3405.jpg,0
../input/datasetavantari/dataset/2944.jpg,0
../input/datasetavantari/dataset/2159.jpg,0
../input/datasetavantari/dataset/2394.jpg,0
../input/datasetavantari/dataset/2349.jpg,0
../input/datasetavantari/dataset/3025.jpg,0
../input/datasetavantari/dataset/1954.jpg,0
../input/datasetavantari/dataset/4396.jpg,0
../input/datasetavantari/dataset/3842.jpg,0
../input/datasetavantari/dataset/3069.jpg,0
../input/datasetavantari/dataset/1023.jpg,0
../input/datasetavantari/dataset/61.jpg,0
../input/datasetavantari/dataset/1856.jpg,0
../input/datasetavantari/dataset/4715.jpg,0
../input/datasetavantari/dataset/1654.jpg,0
../input/datasetavantari/dataset/2252.jpg,0
